51|sivil|Некоторые больные перестали покупать лекарства. Говорят, священник велел им молиться и терпеть.|Some sick stopped buying remedies. A priest told them to pray and endure.|Приказать храмам не мешать лечению.|Order temples not to hinder healing.|Спасибо. Болезни терпение не раздражает, а радует.|Thank you. Disease is glad when you treat it instead of telling patients to endure.|h+15,c-10|Поддержать церковь.|Support the church.|Тогда пусть молитвы сбивают жар. Я посмотрю.|Then let prayers break the fever. I will watch.|c+12,h-15|Разрешить и молитвы, и лекарства.|Allow both prayer and medicine.|Пусть лечатся всем сразу. Иногда отчаяние полезно.|Let them heal with everything at once. Sometimes desperation helps.|h+8,c+5,g-5
52|ingvar|Ваши священники хотят ехать на север проповедовать. Мой князь сочтёт это вмешательством.|Your priests want to ride north to preach. My prince will call it meddling.|Разрешить миссию.|Allow the mission.|Север не любит чужие молитвы. Особенно с юга.|The north does not love foreign prayers. Especially from the south.|c+15,a-10|Запретить миссию.|Forbid the mission.|Мой князь оценит вашу осторожность.|My prince will value your caution.|c-10,a+5,g+5|Отправить только лекарей-монахов.|Send only healer-monks.|Лекарь проходит там, где проповедника встречают копьём.|A healer passes where a preacher meets spears.|c+5,h+5,g-5
53|malrik|Нужна новая коронация. Не во дворце, а в храме. Тогда народ увидит, что власть дана не только мечом.|A new coronation is needed. Not in the palace but in the temple. Then the people will see power was given not only by the sword.|Согласиться на храмовую коронацию.|Agree to a temple coronation.|Теперь ваша корона будет сиять не только золотом, но и страхом Божьим.|Now your crown will shine with gold and godly fear.|c+25,g-20,a-5|Отказаться.|Refuse.|Тогда храм будет молчать. Но молчание в храме слышно далеко.|Then the temple will be silent. But silence in the temple carries far.|a+10,c-25|Провести малый обряд без новой коронации.|Hold a small rite without a new coronation.|Не полная победа для алтаря. Но шаг к нему.|Not full victory for the altar. But a step toward it.|c+10,g-8
54|arvel|Городские бедняки злятся: паломников кормят, а местные голодают. Милость стала поводом для зависти.|City poor are angry: pilgrims are fed while locals starve. Mercy became envy.|Кормить сначала жителей города.|Feed city dwellers first.|Дом нужно спасать до гостей. Это понятно.|Save the house before the guests. That is clear.|h+12,c-5,f-10|Кормить всех поровну.|Feed all equally.|Трудно, дорого, правильно.|Hard, costly, right.|f-18,h+15,c+8|Кормить только паломников у храма.|Feed only pilgrims at the temple.|Тогда город решит, что вера пришла не к нему.|Then the city will think faith came for others.|c+10,h-12,f-8
55|borvin|Храмовые лавки не платят торговый налог. Купцы требуют справедливости. Я требую дохода.|Temple shops pay no trade tax. Merchants demand fairness. I demand revenue.|Обложить лавки налогом.|Tax the shops.|Справедливость наконец-то принесла монеты.|Fairness finally brought coins.|g+15,c-12|Оставить лавки свободными от налогов.|Leave shops tax-free.|Святость снова оказалась дешевле для храма, чем для казны.|Holiness is cheaper for the temple than the treasury again.|c+10,g-10|Ввести малый налог.|Introduce a small tax.|Малый укол. Возможно, храм не закричит.|A small sting. Perhaps the temple will not scream.|g+8,c-3
56|rudolf|Молодые фанатики просятся в армию. Они храбры, но не слушают приказов, когда слышат слово 'ересь'.|Young fanatics want to join the army. They are brave but ignore orders when they hear 'heresy'.|Принять их в армию.|Accept them.|Храбрость получена. Дисциплина под вопросом.|Bravery gained. Discipline in question.|a+15,c+8,h-8|Отказать фанатикам.|Refuse the fanatics.|Лучше меньше солдат, чем толпа с мечами и песнями.|Better fewer soldiers than a crowd with swords and songs.|a-5,c-10,h+5|Создать отдельный церковный отряд под надзором армии.|Form a separate church unit under army oversight.|Я буду держать их рядом. И подальше от решений.|I will keep them close. And far from decisions.|a+10,c+5,g-8
57|mira|Некоторые священники говорят, что женщины не должны лечить мужчин. Сегодня трое отказались от моей помощи.|Some priests say women must not treat men. Today three refused my help.|Запретить такие проповеди.|Forbid such preaching.|Спасибо. Болезнь не выбирает лекаря по полу.|Thank you. Disease does not choose healers by sex.|h+15,c-12|Не вмешиваться.|Do not interfere.|Тогда пусть гордость перевязывает им раны.|Let pride bandage their wounds.|c+8,h-12|Назначить женщин-лекарей только к женщинам и детям.|Assign women healers only to women and children.|Уступка предрассудку редко спасает жизнь.|Conceding to prejudice rarely saves a life.|c+5,h-5
58|gromm|Монастырь варит пиво и продаёт его без налога. Солдаты довольны, казначей нет.|The monastery brews beer and sells it untaxed. Soldiers are pleased, the treasurer is not.|Обложить монастырское пиво налогом.|Tax monastery beer.|Пиво станет дороже. Молитвы — раздражённее.|Beer grows costly. Prayers grow irritable.|g+12,c-8,a-3|Оставить без налога.|Leave it untaxed.|Солдаты будут пить за здоровье церкви.|Soldiers will drink to the church's health.|c+8,a+5,g-8|Забрать часть пива для армии.|Take part of the beer for the army.|Святое пиво в казармах. Я такое уже видел перед драками.|Holy beer in the barracks. I have seen that before brawls.|a+10,c-5,g+3
59|varn|Один молодой священник говорит, что король должен слушать только церковь. Толпа хлопает.|A young priest says the king must listen only to the church. The crowd applauds.|Арестовать священника.|Arrest the priest.|Толпа увидит силу. И запомнит лицо арестованного.|The crowd sees force. And remembers the arrested face.|a+10,c-15,h-5|Вызвать его на разговор.|Summon him to talk.|Мягче. Но он может принять мягкость за слабость.|Softer. But he may take softness for weakness.|c+3,a+3,g-3|Игнорировать.|Ignore.|Слова, оставленные без ответа, часто вырастают.|Unanswered words often grow.|c+5,a-8
60|edric|Малрик предлагает создать церковный совет при троне. Советники в рясах будут говорить от имени народа и богов.|Malrik proposes a church council at court. Robed advisers will speak for people and gods.|Создать церковный совет.|Create the church council.|Вы впустили алтарь в тронный зал. Вывести будет сложнее.|You let the altar into the throne room. Harder to remove.|c+20,g-8,a-5|Отказать.|Refuse.|Священники останутся снаружи. И начнут говорить громче.|Priests stay outside. And speak louder.|c-15,a+5|Разрешить одному представителю церкви.|Allow one church representative.|Одна ряса легче совета. Пока она не заговорит за всех.|One robe is lighter than a council. Until it speaks for all.|c+8,g-3
61|malrik|Церковь предлагает налог на роскошь. Деньги пойдут бедным. И, разумеется, через храмовые руки.|The church proposes a luxury tax. Money for the poor — through temple hands, of course.|Ввести налог через церковь.|Levy through the church.|Богатые возненавидят нас обоих. Бедные будут есть.|The rich will hate us both. The poor will eat.|c+15,g+5,h+8|Ввести налог через корону.|Levy through the crown.|Вы забрали милосердие из рук церкви. Смело.|You took mercy from church hands. Bold.|g+15,c-5,h+5|Отказаться.|Refuse.|Роскошь останется нетронутой. Как и голод.|Luxury untouched. So is hunger.|g+3,c-8,h-5
